Rank,Location,Population,"% of world",Date,"Source (official or from the United Nations)",
–,World,"8,095,687,000",100%,19 Mar 2024,UN projection,
1/2,China,"1,409,670,000",17.4%,31 Dec 2023,Official estimate,
1/2,India,"1,392,329,000",17.2%,1 Jul 2023,Official projection,
3,United States,"335,893,238",4.1%,1 Jan 2024,Official estimate,
4,Indonesia,"279,118,866",3.4%,1 Jul 2023,National annual projection,
5,Pakistan,"241,499,431",3.0%,1 Mar 2023,2023 census result,
6,Nigeria,"223,800,000",2.8%,1 Jul 2023,Official projection,
7,Brazil,"203,080,756",2.5%,1 Aug 2022,2022 census result,
8,Bangladesh,"169,828,911",2.1%,14 Jun 2022,2022 census result,
9,Russia,"146,203,613",1.8%,1 Jan 2024,Official estimate,
10,Mexico,"129,625,968",1.6%,31 Dec 2023,National quarterly estimate,
11,Japan,"123,990,000",1.5%,1 Feb 2024,Official estimate,
12,Philippines,"112,892,781",1.4%,1 Jul 2023,Official projection,
13,Ethiopia,"107,334,000",1.3%,1 Jul 2023,National annual projection,
14,Egypt,"104,462,545",1.3%,1 Jan 2023,Official estimate,
15,Vietnam,"100,300,000",1.2%,Jul 2023,Official estimate,
16,Democratic Republic of the Congo,"95,370,000",1.2%,1 Jul 2019,Official figure,
17,Turkey,"85,372,377",1.1%,31 Dec 2023,Official estimate,
18,Germany,"84,607,016",1.0%,30 Sep 2023,National quarterly estimate,
19,Iran,"84,055,000",1.0%,20 Mar 2022,Official estimate,
20,France,"68,381,000",0.8%,1 Feb 2024,Monthly national estimate,
21,Thailand,"68,263,022",0.8%,1 Jul 2021,Official estimate,
22,United Kingdom,"67,026,292",0.8%,30 Jun 2021,Official estimate,
23,South Africa,"62,027,503",0.8%,2 Feb 2022,2022 census result,
24,Tanzania,"61,741,120",0.8%,23 Aug 2022,2022 census result,
25,Italy,"58,909,449",0.7%,30 Nov 2023,Monthly national estimate,
26,Myanmar,"55,770,232",0.7%,1 Jul 2022,National annual projection,
27,Colombia,"52,695,952",0.7%,1 Jan 2024,Official projection,
28,Kenya,"51,526,000",0.6%,1 Jan 2023,Official projection,
29,South Korea,"51,303,688",0.6%,29 Feb 2024,Monthly national estimate,
30,Spain,"48,592,909",0.6%,1 Jan 2024,National quarterly estimate,
31,Argentina,"46,654,581",0.6%,1 Jul 2023,National annual projection,
32,Uganda,"45,562,000",0.6%,1 Jul 2023,National annual projection,
33,Algeria,"45,400,000",0.6%,1 Jan 2022,Official estimate,
34,Iraq,"43,324,000",0.5%,1 Jul 2023,Official estimate,
35,Sudan,"41,984,500",0.5%,1 Jul 2018,Official projection,
36,Canada,"40,528,396",0.5%,1 Oct 2023,National quarterly estimate,
37,Poland,"37,635,000",0.5%,31 Dec 2023,Monthly national estimate,
38,Morocco,"37,022,000",0.5%,1 Jul 2023,Official projection,
39,Ukraine,"36,700,000",0.5%,1 Jul 2023,UN estimate,
40,Uzbekistan,"36,599,764",0.5%,1 Oct 2023,National quarterly estimate,
41,Afghanistan,"34,262,840",0.4%,1 Jan 2023,Official estimate,
42,Angola,"34,094,077",0.4%,1 Jun 2023,National annual projection,
43,Peru,"33,396,698",0.4%,1 Jul 2022,National annual projection,
44,Malaysia,"33,379,500",0.4%,30 Jun 2023,National quarterly estimate,
45,Mozambique,"32,419,747",0.4%,1 Jul 2022,National annual projection,
46,Saudi Arabia,"32,175,224",0.4%,10 May 2022,2022 census result,
47,Yemen,"31,888,698",0.4%,1 Jul 2022,Official estimate,
48,Ghana,"30,832,019",0.4%,27 Jun 2021,2021 census result,
49,Ivory Coast,"29,389,150",0.4%,14 Dec 2021,2021 census result,
50,Nepal,"29,164,578",0.4%,25 Nov 2021,2021 census result,
51,Venezuela,"28,302,000",0.3%,30 Jun 2019,Official projection,
52,Cameroon,"28,088,845",0.3%,1 Jul 2023,National annual projection,
53,Madagascar,"26,923,353",0.3%,1 Jul 2021,National annual projection,
54,Australia,"26,461,912",0.3%,31 Mar 2023,Official projection,
55,North Korea,"25,660,000",0.3%,1 Jul 2021,National annual projection,
56,Niger,"25,369,415",0.3%,1 Jul 2023,National annual projection,
–,Taiwan,"23,420,442",0.3%,31 Dec 2023,Official estimate,
57,Syria,"22,923,000",0.3%,1 Jul 2021,Official estimate,
58,Burkina Faso,"22,752,315",0.3%,1 Jul 2023,National projection,
59,Mali,"22,395,489",0.3%,15 Jun 2022,2022 census result,
60,Sri Lanka,"22,037,000",0.3%,1 Jul 2023,Official estimate,
61,Malawi,"21,507,723",0.3%,1 Jul 2022,National annual projection,
62,Kazakhstan,"20,033,546",0.2%,1 Jan 2024,Official estimate,
63,Chile,"19,960,889",0.2%,30 Jun 2023,National annual projection,
64,Zambia,"19,610,769",0.2%,14 Sep 2022,2022 census result,
65,Romania,"19,051,562",0.2%,1 Jan 2023,Official estimate,
66,Senegal,"18,275,743",0.2%,1 Jul 2023,National annual projection,
67,Somalia,"18,143,379",0.2%,1 Jul 2023,UN projection,
68,Netherlands,"17,947,684",0.2%,31 Dec 2023,Official estimate,
69,Guatemala,"17,602,431",0.2%,1 Jul 2023,National annual projection,
70,Chad,"17,414,717",0.2%,1 Jul 2022,National annual projection,
71,Cambodia,"17,091,464",0.2%,1 Jul 2023,Official projection,
72,Ecuador,"16,938,986",0.2%,1 Oct 2022,2022 census result,
73,Zimbabwe,"15,178,979",0.2%,20 Apr 2022,2022 census result,
74,South Sudan,"14,746,494",0.2%,1 Jul 2023,National annual projection,
75,Guinea,"13,261,638",0.2%,1 Jul 2022,National annual projection,
76,Rwanda,"13,246,394",0.2%,15 Aug 2022,2022 census result,
77,Burundi,"12,837,740",0.2%,1 Jul 2022,National annual projection,
78,Benin,"12,606,998",0.2%,1 Jul 2023,National annual projection,
79,Bolivia,"12,006,031",0.1%,1 Jul 2022,National annual projection,
80,Tunisia,"11,850,232",0.1%,1 Jan 2023,National estimate,
81,Belgium,"11,810,018",0.1%,1 Dec 2023,Official estimate,
82,Papua New Guinea,"11,781,559",0.1%,1 Jul 2021,National estimate,
83,Haiti,"11,743,017",0.1%,1 Jul 2020,National annual projection,
84,Jordan,"11,302,000",0.1%,31 Dec 2022,National estimate,
85,Cuba,"11,089,511",0.1%,31 Dec 2022,Official estimate,
86,Czech Republic,"10,882,235",0.1%,30 Sep 2023,Official estimate,
87,Dominican Republic,"10,760,028",0.1%,10 Nov 2022,2022 census result,
88,Sweden,"10,551,707",0.1%,31 Dec 2023,Monthly national estimate,
89,Portugal,"10,467,366",0.1%,31 Dec 2022,2022 estimate,
90,Greece,"10,413,982",0.1%,1 Jan 2023,Official estimate,
91,Azerbaijan,"10,151,517",0.1%,1 Jul 2023,Monthly national estimate,
92,Tajikistan,"10,077,600",0.1%,1 Jan 2023,Official estimate,
93,Israel,"9,855,000",0.1%,31 Jan 2023,National monthly estimate,
94,Honduras,"9,745,149",0.1%,1 Jul 2023,National annual projection,
95,Hungary,"9,597,085",0.1%,1 Jan 2023,Official estimate,
96,United Arab Emirates,"9,282,410",0.1%,31 Dec 2020,Official estimate,
97,Belarus,"9,200,617",0.1%,1 Jan 2023,Official estimate,
98,Austria,"9,159,993",0.1%,1 Jan 2024,National quarterly estimate,
99,Switzerland,"8,931,306",0.1%,30 Sep 2023,National quarterly estimate,
100,Sierra Leone,"8,494,260",0.1%,1 Jul 2022,National annual projection,
101,Togo,"8,095,498",0.10%,8 Nov 2022,2022 census result,
–,Hong Kong (China),"7,498,100",0.09%,30 Jun 2023,National estimate,
102,Laos,"7,443,000",0.09%,1 Jul 2022,National annual projection,
103,Kyrgyzstan,"7,100,000",0.09%,1 Mar 2023,Monthly national estimate,
104,Turkmenistan,"7,057,841",0.09%,17 Dec 2022,2022 census result,
105,Libya,"6,931,061",0.09%,1 Jan 2020,Official estimate,
106,El Salvador,"6,884,888",0.09%,1 Jul 2022,National annual projection,
107,Nicaragua,"6,733,763",0.08%,30 Jun 2022,Official estimate,
108,Serbia,"6,641,197",0.08%,1 Jan 2023,Official estimate,
109,Bulgaria,"6,447,710",0.08%,31 Dec 2022,Official annual estimate,
110,Republic of the Congo,"6,142,180",0.08%,17 May 2023,2023 census result,
111,Paraguay,"6,109,644",0.08%,10 Nov 2022,Preliminary census result,
112,Denmark,"5,961,249",0.07%,1 Jan 2024,National quarterly estimate,
113,Singapore,"5,917,600",0.07%,30 Jun 2023,Official estimate,
114,Central African Republic,"5,633,412",0.07%,1 Jul 2020,National annual projection,
115,Finland,"5,574,011",0.07%,31 Dec 2023,Monthly national estimate,
116,Norway,"5,550,203",0.07%,31 Dec 2023,National quarterly estimate,
117,Lebanon,"5,490,000",0.07%,1 Jul 2021,Official estimate,
118,Palestine,"5,483,450",0.07%,1 Jan 2023,National annual projection,
119,Slovakia,"5,426,468",0.07%,30 Sep 2023,National quarterly estimate,
120,Ireland,"5,281,600",0.07%,1 Apr 2023,National estimate,
121,New Zealand,"5,305,600",0.07%,31 Dec 2023,National quarterly estimate,
122,Costa Rica,"5,262,225",0.07%,30 Jun 2023,National annual projection,
123,Liberia,"5,248,621",0.06%,10 Nov 2022,2022 census result,
124,Oman,"5,113,071",0.06%,31 Aug 2023,Monthly national estimate,
125,Kuwait,"4,670,713",0.06%,31 Dec 2020,Official estimate,
126,Mauritania,"4,475,683",0.06%,1 Jul 2023,National annual projection,
127,Panama,"4,064,780",0.05%,8 Jan 2023,2023 census result,
128,Croatia,"3,855,641",0.05%,1 Jul 2022,Official estimate,
129,Eritrea,"3,748,902",0.05%,1 Jul 2023,UN projection,
130,Georgia,"3,736,400",0.05%,1 Jan 2023,Official estimate,
131,Mongolia,"3,457,548",0.04%,31 Dec 2022,National annual projection,
132,Uruguay,"3,444,263",0.04%,27 Nov 2023,2023 National census,
133,Bosnia and Herzegovina,"3,277,082",0.04%,1 Jul 2022,Official estimate,
–,Puerto Rico (US),"3,205,691",0.04%,1 Jul 2023,Annual projection,
134,Armenia,"2,981,200",0.04%,1 Jan 2023,National quarterly estimate,
135,Lithuania,"2,886,515",0.04%,1 Jan 2024,Monthly national estimate,
136,Jamaica,"2,825,544",0.03%,1 Jul 2019,National projection,
137,Albania,"2,761,785",0.03%,1 Jan 2023,Official estimate,
138,Qatar,"2,656,032",0.03%,30 Jun 2023,Monthly national estimate,
139,Namibia,"2,641,857",0.03%,1 Jul 2023,National annual projection,
140,Moldova,"2,512,758",0.03%,1 Jan 2023,Official estimate,
141,Gambia,"2,417,471",0.03%,1 Jul 2022,National projection,
142,Botswana,"2,410,338",0.03%,1 Jul 2021,National annual projection,
143,Lesotho,"2,306,000",0.03%,1 Jul 2023,Official projection,
144,Gabon,"2,233,272",0.03%,1 Jul 2021,National annual projection,
145,Slovenia,"2,123,103",0.03%,1 Oct 2023,National quarterly estimate,
146,Latvia,"1,872,500",0.02%,1 Jan 2024,Monthly national estimate,
147,North Macedonia,"1,832,696",0.02%,1 Nov 2021,2021 census result,
148,Guinea-Bissau,"1,781,308",0.02%,1 Jul 2023,National annual projection,
–,Kosovo,"1,762,220",0.02%,31 Dec 2022,Official estimate,
149,Bahrain,"1,577,059",0.02%,1 Jul 2023,Official estimate,
150,Equatorial Guinea,"1,558,160",0.02%,1 Jul 2022,Official estimate,
151,Trinidad and Tobago,"1,367,510",0.02%,30 Jun 2023,Official estimate,
152,Estonia,"1,366,491",0.02%,1 Jan 2024,Official estimate,
153,East Timor,"1,354,662",0.02%,1 Jul 2023,National annual projection,
154,Mauritius,"1,261,041",0.02%,30 Jun 2023,National estimate,
155,Eswatini,"1,223,362",0.02%,1 Jul 2023,Official projection,
156,Djibouti,"1,001,454",0.01%,1 Jul 2022,National projection,
157,Cyprus,"918,100",0.01%,1 Oct 2021,2021 census result,
158,Fiji,"893,468",0.01%,1 Jul 2021,National annual projection,
159,Bhutan,"770,276",0.010%,2023,National annual projection,
160,Comoros,"758,316",0.009%,15 Dec 2017,2017 census result,
161,Guyana,"743,699",0.009%,1 Jul 2019,Official estimate,
162,Solomon Islands,"734,887",0.009%,1 Jul 2023,National annual projection,
–,Macau (China),"681,300",0.008%,30 Sep 2023,National quarterly estimate,
163,Luxembourg,"660,809",0.008%,1 Jan 2023,Official estimate,
164,Montenegro,"616,695",0.008%,1 Jan 2023,National annual estimate,
165,Suriname,"616,500",0.008%,1 Jul 2021,Official estimate,
–,[disputed  – discuss] Western Sahara,"587,259",0.007%,1 Jul 2023,UN projection,
166,Malta,"519,562",0.006%,21 Nov 2021,2021 census result,
167,Maldives,"515,132",0.006%,13 Sep 2022,2022 census result,
168,Cape Verde,"491,233",0.006%,16 Jun 2021,2021 census result,
169,Brunei,"445,400",0.006%,1 Jul 2022,Official estimate,
170,Belize,"441,471",0.005%,1 Jul 2022,Official estimate,
171,Bahamas,"397,360",0.005%,1 Jul 2022,,
172,Iceland,"396,960",0.005%,1 Oct 2023,National quarterly estimate,
–,Northern Cyprus,"382,836",0.005%,31 Dec 2020,Official estimate,
–,Transnistria,"360,938",0.004%,31 Dec 2022,Official estimate,
173,Vanuatu,"301,295",0.004%,1 Jul 2021,National annual projection,
–,French Polynesia (France),"279,890",0.003%,1 Jul 2021,National annual projection,
–,New Caledonia (France),"268,510",0.003%,1 Jan 2023,National annual projection,
174,Barbados,"267,800",0.003%,31 Dec 2022,,
–,Abkhazia,"244,236",0.003%,1 Jan 2022,Official estimate,
175,São Tomé and Príncipe,"214,610",0.003%,1 Jul 2021,National annual projection,
176,Samoa,"205,557",0.003%,6 Nov 2021,Census 2021,
177,Saint Lucia,"178,696",0.002%,1 Jul 2018,Official estimate,
–,Guam (US),"153,836",0.002%,1 Apr 2020,2020 census result,
–,Curacao (Netherlands),"148,925",0.002%,1 Jan 2023,Official estimate,
178,Kiribati,"120,740",0.001%,1 Jul 2021,National annual projection,
179,Grenada,"112,579",0.001%,1 Jul 2019,Official estimate,
180,Saint Vincent and the Grenadines,"110,872",0.001%,1 Jul 2022,Official estimate,
–,Aruba (Netherlands),"106,739",0.001%,30 Sep 2022,National quarterly estimate,
181,Micronesia,"105,754",0.001%,1 Jul 2021,National annual projection,
–,Jersey (UK),"103,267",0.001%,21 Mar 2021,2021 census result,
182,Antigua and Barbuda,"100,772",0.001%,1 Jan 2022,National annual estimate,
183,Seychelles,"100,447",0.001%,22 Apr 2022,2022 Census,
184,Tonga,"100,179",0.001%,1 Jan 2022,National annual estimate,
–,U.S. Virgin Islands (US),"87,146",0.001%,1 Apr 2020,2020 census result,
185,Andorra,"85,101",0.001%,31 Dec 2023,Official estimate,
–,Isle of Man (UK),"84,069",0.001%,30 May 2021,2021 census result,
–,Cayman Islands (UK),"71,105",0.0009%,30 Sep 2020,2021 Census,
186,Dominica,"67,408",0.0008%,31 Dec 2017,Official estimate,
–,Guernsey (UK),"64,091",0.0008%,31 Mar 2023,National quarterly estimate,
–,Bermuda (UK),"64,055",0.0008%,1 Jul 2021,National annual projection,
–,Greenland (Denmark),"56,865",0.0007%,1 Jul 2023,National quarterly estimate,
–,South Ossetia,"56,520",0.0007%,31 Dec 2021,Official estimate,
–,Faroe Islands (Denmark),"54,547",0.0007%,1 Dec 2023,Monthly national estimate,
–,American Samoa (US),"49,710",0.0006%,1 Apr 2020,2020 census result,
–,Northern Mariana Islands (US),"47,329",0.0006%,1 Apr 2020,2020 census result,
187,Saint Kitts and Nevis,"47,195",0.0006%,15 May 2011,2011 census result,
–,Turks and Caicos Islands (UK),"46,131",0.0006%,1 Jul 2021,Official estimate,
–,Sint Maarten (Netherlands),"42,938",0.0005%,1 Jan 2023,Official estimate,
188,Marshall Islands,"42,418",0.0005%,30 Sep 2021,2021 Census,
189,Liechtenstein,"39,724",0.0005%,30 Jun 2023,National estimate,
190,Monaco,"39,050",0.0005%,31 Dec 2022,Official estimate,
–,Gibraltar (UK),"34,003",0.0004%,1 Jul 2016,Official figure,
191,San Marino,"33,889",0.0004%,31 Oct 2023,Monthly national estimate,
–,Saint Martin (France),"32,358",0.0004%,1 Jan 2020,Official estimate,
–,British Virgin Islands (UK),"31,538",0.0004%,1 Jul 2023,UN projection,
–,Åland (Finland),"30,547",0.0004%,31 Dec 2023,Monthly national estimate,
192,Palau,"16,733",0.0002%,1 Jul 2021,2021 Census,
–,Anguilla (UK),"15,701",0.0002%,31 Dec 2021,Official estimate,
–,Cook Islands,"15,040",0.0002%,1 Jul 2021,2021 Census,
193,Nauru,"11,680",0.0001%,30 Oct 2021,2021 Census,
–,Wallis and Futuna (France),"11,369",0.0001%,1 Jan 2021,National annual projection,
194,Tuvalu,"10,679",0.0001%,1 Jul 2021,National annual projection,
–,Saint Barthélemy (France),"10,585",0.0001%,1 Jan 2020,Official estimate,
–,Saint Pierre and Miquelon (France),"6,092",0%,1 Jan 2020,Official estimate,
–,"Saint Helena, Ascension and Tristan da Cunha (UK)","5,651",0%,1 Jul 2021,2021 Census,
–,Montserrat (UK),"4,433",0%,1 Jul 2022,Official figure,
–,Falkland Islands (UK),"3,662",0%,10 Oct 2021,2021 census result,
–,Norfolk Island (Australia),"2,188",0%,1 Jan 2021,2021 Census,
–,Christmas Island (Australia),"1,692",0%,1 Jan 2021,2021 Census,
–,Niue,"1,689",0%,11 Nov 2022,2022 Census,
–,Tokelau (NZ),"1,647",0%,1 Jan 2019,2019 Census,
195,Vatican City,764,0%,26 Jun 2023,Official figure,
–,Cocos (Keeling) Islands (Australia),593,0%,30 Jun 2020,2021 Census,
–,Pitcairn Islands (UK),47,0%,1 Jul 2021,Official estimate,
